timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731425005924,14,HTTP Request-1,200,,Users 1-36,text,true,,4053,136,39,39,http://localhost:9494/VehicleRegistration/,14,0,0
1731425005941,7,HTTP Request,200,,Users 1-36,text,true,,4221,271,39,39,http://localhost:9494/VehicleRegistration/,2,0,0
1731425005941,2,HTTP Request-0,302,,Users 1-36,,true,,168,135,39,39,http://localhost:9494/VehicleRegistration,2,0,0
1731425005944,4,HTTP Request-1,200,,Users 1-36,text,true,,4053,136,39,39,http://localhost:9494/VehicleRegistration/,4,0,0
1731425005942,12,HTTP Request,200,,Users 1-20,text,true,,4221,271,38,38,http://localhost:9494/VehicleRegistration/,8,0,0
1731425005942,8,HTTP Request-0,302,,Users 1-20,,true,,168,135,38,38,http://localhost:9494/VehicleRegistration,8,0,0
1731425005951,3,HTTP Request-1,200,,Users 1-20,text,true,,4053,136,38,38,http://localhost:9494/VehicleRegistration/,3,0,0
1731425005940,25,HTTP Request,200,,Users 1-27,text,true,,4221,271,37,37,http://localhost:9494/VehicleRegistration/,15,0,0
1731425005940,15,HTTP Request-0,302,,Users 1-27,,true,,168,135,37,37,http://localhost:9494/VehicleRegistration,15,0,0
1731425005956,9,HTTP Request-1,200,,Users 1-27,text,true,,4053,136,37,37,http://localhost:9494/VehicleRegistration/,9,0,0
1731425005940,26,HTTP Request,200,,Users 1-38,text,true,,4221,271,37,37,http://localhost:9494/VehicleRegistration/,20,0,0
1731425005940,20,HTTP Request-0,302,,Users 1-38,,true,,168,135,37,37,http://localhost:9494/VehicleRegistration,20,0,0
1731425005960,6,HTTP Request-1,200,,Users 1-38,text,true,,4053,136,37,37,http://localhost:9494/VehicleRegistration/,6,0,0
1731425005776,195,HTTP Request,200,,Users 1-17,text,true,,4221,271,35,35,http://localhost:9494/VehicleRegistration/,129,0,72
1731425005776,144,HTTP Request-0,302,,Users 1-17,,true,,168,135,35,35,http://localhost:9494/VehicleRegistration,129,0,72
1731425005923,48,HTTP Request-1,200,,Users 1-17,text,true,,4053,136,35,35,http://localhost:9494/VehicleRegistration/,48,0,0
1731425005816,158,HTTP Request,200,,Users 1-32,text,true,,4221,271,35,35,http://localhost:9494/VehicleRegistration/,90,0,38
1731425005816,104,HTTP Request-0,302,,Users 1-32,,true,,168,135,35,35,http://localhost:9494/VehicleRegistration,90,0,38
1731425005924,50,HTTP Request-1,200,,Users 1-32,text,true,,4053,136,35,35,http://localhost:9494/VehicleRegistration/,50,0,0
1731425005977,11,HTTP Request,200,,Users 1-32,text,true,,4221,271,35,35,http://localhost:9494/VehicleRegistration/,8,0,0
1731425005977,8,HTTP Request-0,302,,Users 1-32,,true,,168,135,35,35,http://localhost:9494/VehicleRegistration,8,0,0
1731425005986,2,HTTP Request-1,200,,Users 1-32,text,true,,4053,136,35,35,http://localhost:9494/VehicleRegistration/,2,0,0
1731425005973,17,HTTP Request,200,,Users 1-17,text,true,,4221,271,34,34,http://localhost:9494/VehicleRegistration/,10,0,0
